liste;ID;Titre;Sous-titre;Édition;Type;EAN;"Prix indicatif";Joueur(s);Durée;Age(s);Langues;Univers;Gamme(s);Catégorie(s);Thème(s);Mécanisme(s);Éditeur(s);Auteur(s);Illustrateur(s)
"Escape game";23605;"Unlock! L'élite";;2017;goodie;;0;"1 — 6";60;10+;français;;Unlock!;"Escape Game,Jeu de Cartes";;Combinaison,Coopération,Déduction,Énigme,Exploration,Logique,Observation;"Space Cowboys";"Cyril Demaegd";
Enfance;20210;"Twin It!";;2017;basegame;3760052142666;15;"2 — 6";15;6+;français;;"Twin It !";"Jeu de Cartes";Abstrait;Observation,Rapidité;"Cocktail Games";"Nathalie Saunier,Rémi Saunier,Thomas Vuarchex";"Thomas Vuarchex"
Enfance;6957;"Tip Top Clap";;2010;basegame;3070900051201;8,9;"2 — 5";15;6+;français;;"Mini Djeco";"Jeu de Cartes";;Mémorisation,Observation;Djeco;;"Philippe Derrien"
Enfance;46592;"Time's Up! Kids";"Version chat";2016;basegame;5425016924709;22,95;"3 — 10";30;4+;français,néerlandais;;"Time's Up !";"Jeu d'Ambiance";Animaux;"Mémorisation,Mime,Temps réel";"Repos Production";"Peter Sarrett";
Famille;50641;Semino;;2010;basegame;;0;"1 — 4";15;3+;français;;;"Jeu de pions";Jardinage,Nature,Végétaux;"Chance & Hasard,Stratégie";"Hape International";;
Famille;41745;"Happy City";;2021;basegame;3760052143472;19;"2 — 5";30;10+;français;;"Happy City";"Jeu de Cartes";Construction,Ville;"Gestion de ressources,Stratégie";"Cocktail Games";"Airu Sato,Toshiki Sato";"Makoto Takami"
"Ludique Educatif";31935;"The Genius Square";;2019;basegame;0732068459932;20;"1 — 2";15;6+;français,allemand,espagnol,italien;;"Genius square";Casse-tête;Abstrait;Logique;"The Happy Puzzle Company";"Salim Berghiche";
"Ludique Educatif";1237;Démoniak;;2015;basegame;4005556266609;20;"2 — 6";20;8+;français;;;"Jeu d'Ambiance";Lettres;;Ravensburger;"Nicolas Bourgoin";
Famille;46371;"Codenames - Disney";;2021;basegame;3760175517082;26,5;"2 — 8";15;8+;français;Disney;Codenames;"Jeu d'Ambiance";"Dessin animé";Argumentation,Déduction;Iello;"Vlaada Chvátil";
Famille;36810;"Bermuda Pirates";;2020;basegame;8717344311915;22,5;"2 — 4";30;7+;français,anglais;;;"Jeu de plateau";Pirates;"Collecte & Transport,Mémorisation,Plateau modulaire,Stop ou encore";Foxmind;"Jeppe Norsker";
